978-4-05-611264-1	ディズニーおけいこだいすき♥	ひらがな・かず・えいご はじめての知育♥				学研プラス		2017.9	59p	26cm		Gakken Mook				¥1200	
978-4-05-800812-6	犬なぞり絵	えんぴつで簡単!かわいい!	shino 絵			学研プラス		2017.9	95p	26cm						¥1000	
978-4-05-800816-4	2〜5歳児やる気を引き出す!楽しい生活習慣シアター		松家まきこ 著			学研プラス		2017.9	135p	26cm		Gakken保育Books				¥2000	
978-4-05-800818-8	ティンパニストかく語りき	“叩き上げ”オーケストラ人生	近藤高顯 著			学研プラス		2017.9	247p	19cm						¥1500	
978-4-05-800819-5	発達障害の子どもの「できる」を増やす提案・交渉型アプローチ	叱らないけど譲らない支援	武田鉄郎 編著			学研プラス		2017.9	167p	21cm		学研のヒューマンケアブックス				¥1700	
978-4-05-800822-5	プレスvsビルドアップ	サッカー最新戦術ラボ	西部謙司 著			学研プラス		2017.9	247p	19cm		GAKKEN SPORTS BOOKS				¥1500	
978-4-05-800823-2	紫微斗数占星術奥義	決定版	東海林秀樹 著		増補改訂	学研プラス		2017.9	478p	20cm		elfin books series				¥3000	
978-4-06-133331-4	絵本眠れなくなる宇宙といのちのはなし		長崎訓子 絵	佐藤勝彦 作		講談社		2017.8	32p	27cm		講談社の創作絵本				¥1500	
978-4-06-138618-1	グルメ漫画50年史		杉村啓 著			星海社	講談社	2017.8	247p	18cm		星海社新書 113				¥920	
978-4-06-154397-3	X線・光・中性子散乱の原理と応用	Principles and Applications of X‐ray,Light and Neutron Scattering	橋本竹治 著			講談社		2017.8	402, 3p	21cm						¥7000	
978-4-06-220179-7	あなたの生産性を上げる8つのアイディア		チャールズ・デュヒッグ 著	鈴木晶 訳		講談社		2017.8	348p	19cm						¥1900	
978-4-06-220528-3	ちいさなプリンセスソフィア おともだちのプリンセスといっしょ10のおはなし		老田勝 構成・文			講談社		2017.8	119p	21cm						¥1400	
978-4-06-220551-1	高倉健 七つの顔を隠し続けた男		森功 著			講談社		2017.8	287p	20cm						¥1600	
978-4-06-220615-0	がんばりすぎない、悲しみすぎない。	「がん患者の家族」のための言葉の処方箋	樋野興夫 著			講談社		2017.8	189p	18cm						¥1200	
978-4-06-220620-4	今日も君は、約束の旅に出る		瀬那和章 著			講談社		2017.8	269p	19cm						¥1400	
978-4-06-220691-4	書きとりきみまろ	1日1ネタ!40日間、読んで、笑って、なぞって、字も美しく!!	綾小路きみまろ 著			講談社		2017.8	95p	26cm						¥1000	
978-4-06-220715-7	風神雷神 風の章		柳広司 著			講談社		2017.8	249p	20cm						¥1500	
978-4-06-220716-4	風神雷神 雷の章		柳広司 著			講談社		2017.8	266p	20cm						¥1500	
978-4-06-220726-3	ドン・キホーテ	絵本・世界の名作	村上勉 絵	ミゲル・デ・セルバンテス 原作		講談社		2017.8	41p	31cm						¥1700	
978-4-06-220738-6	鈴木春信		鈴木春信 画	浅野秀剛 著		講談社		2017.8	191p	15×15cm		ART BOX				¥2200	
978-4-06-220758-4	大学病院の奈落		高梨ゆき子 著			講談社		2017.8	278p	20cm						¥1600	
978-4-06-287028-3	介護というお仕事		小山朝子 著			講談社		2017.8	173p	20cm		世の中への扉	社会			¥1300	
